id,first_name,last_name,email,gender,phone,Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Region
1,Chas,Rollett,crollett0@icq.com,Male,625-741-0213,2,12669,9656,7561,214,2674,1338,3
2,Rockie,Cheney,rcheney1@delicious.com,Male,233-712-5425,2,7057,9810,9568,1762,3293,1776,3
3,Gretel,Pole,gpole2@elpais.com,Female,514-912-5355,2,6353,8808,7684,2405,3516,7844,3
4,Bertine,Scogings,bscogings3@bizjournals.com,Female,622-446-1554,1,13265,1196,4221,6404,507,1788,3
5,Leonid,Shortcliffe,lshortcliffe4@ted.com,Male,384-201-2900,2,22615,5410,7198,3915,1777,5185,3
6,Luci,Salzberger,lsalzberger5@themeforest.net,Female,915-928-9299,2,9413,8259,5126,666,1795,1451,3
7,Hermann,McKinnon,hmckinnon6@wix.com,Male,521-918-4394,2,12126,3199,6975,480,3140,545,3
8,Coral,Spurrett,cspurrett7@skyrock.com,Female,410-599-2114,2,7579,4956,9426,1669,3321,2566,3
9,Ninnette,Kollas,nkollas8@icio.us,Female,238-483-0331,1,5963,3648,6192,425,1716,750,3
10,Tremayne,Garter,tgarter9@deliciousdays.com,Male,548-853-4487,2,6006,11093,18881,1159,7425,2098,3
11,Bethanne,Rickerd,brickerda@google.com,Genderfluid,633-184-6948,2,3366,5403,12974,4400,5977,1744,3
12,Sigfrid,Ferre,sferreb@drupal.org,Male,804-337-6815,2,13146,1124,4523,1420,549,497,3
13,Alden,Pickin,apickinc@cbsnews.com,Male,820-204-4458,2,31714,12319,11757,287,3881,2931,3
14,Porter,Newitt,pnewittd@ifeng.com,Male,513-706-7648,2,21217,6208,14982,3095,6707,602,3
15,Emeline,Gon,egone@redcross.org,Female,109-865-1635,2,24653,9465,12091,294,5058,2168,3
16,Uriel,Eddies,ueddiesf@parallels.com,Male,381-971-5880,1,10253,1114,3821,397,964,412,3
17,Uta,Amorine,uamorineg@twitpic.com,Non-binary,895-466-7010,2,1020,8816,12121,134,4508,1080,3
18,Alameda,Alldridge,aalldridgeh@list-manage.com,Female,831-808-3614,1,5876,6157,2933,839,370,4478,3
19,Marlon,Roantree,mroantreei@wix.com,Male,317-653-3129,2,18601,6327,10099,2205,2767,3181,3
20,Ogden,Ivanisov,oivanisovj@wsj.com,Male,554-821-4524,1,7780,2495,9464,669,2518,501,3
21,Elliott,Attersoll,eattersollk@netvibes.com,Male,854-234-2710,2,17546,4519,4602,1066,2259,2124,3
22,Skell,Wilsdon,swilsdonl@indiegogo.com,Male,514-197-0541,1,5567,871,2010,3383,375,569,3
23,Cyrill,Compford,ccompfordm@mapquest.com,Male,585-601-9212,1,31276,1917,4469,9408,2381,4334,3
24,Becki,O'Hagan,bohagann@technorati.com,Female,916-179-5903,2,26373,36423,22019,5154,4337,16523,3
25,Minny,Trunkfield,mtrunkfieldo@blinklist.com,Female,861-743-6123,2,22647,9776,13792,2915,4482,5778,3
26,Antonina,Shobbrook,ashobbrookp@guardian.co.uk,Female,367-192-6059,2,16165,4230,7595,201,4003,57,3
27,Alaster,Beddoes,abeddoesq@skype.com,Male,898-876-1188,1,9898,961,2861,3151,242,833,3
28,Julissa,Hayen,jhayenr@wisc.edu,Female,163-196-7917,1,14276,803,3045,485,100,518,3
29,Garey,Reville,grevilles@tmall.com,Male,304-915-6163,2,4113,20484,25957,1158,8604,5206,3
30,Marysa,Bleue,mbleuet@gov.uk,Female,709-748-9528,1,43088,2100,2609,1200,1107,823,3
31,Sabrina,Ede,sedeu@ameblo.jp,Female,734-736-0930,1,18815,3610,11107,1148,2134,2963,3
32,Loretta,Frame,lframev@oaic.gov.au,Female,681-886-7066,1,2612,4339,3133,2088,820,985,3
33,Reine,Meere,rmeerew@msu.edu,Female,715-106-8499,1,21632,1318,2886,266,918,405,3
34,Loralyn,Treend,ltreendx@wiley.com,Female,575-973-8515,1,29729,4786,7326,6130,361,1083,3
35,Kit,Pounder,kpoundery@ca.gov,Male,266-162-8389,1,1502,1979,2262,425,483,395,3
36,Dorena,Hearle,dhearlez@archive.org,Female,794-641-5484,2,688,5491,11091,833,4239,436,3
37,Consuela,Edess,cedess10@epa.gov,Female,307-570-9821,1,29955,4362,5428,1729,862,4626,3
38,Jess,Steeples,jsteeples11@ning.com,Genderqueer,225-657-8896,2,15168,10556,12477,1920,6506,714,3
39,Pegeen,Strodder,pstrodder12@fema.gov,Female,726-916-3934,2,4591,15729,16709,33,6956,433,3
40,Gloriana,Jude,gjude13@gizmodo.com,Female,955-126-3398,1,56159,555,902,10002,212,2916,3
41,Sharona,Gentreau,sgentreau14@parallels.com,Non-binary,530-461-9043,1,24025,4332,4757,9510,1145,5864,3
42,Robenia,Meade,rmeade15@dedecms.com,Female,230-440-5775,1,19176,3065,5956,2033,2575,2802,3
43,Kirby,Tatnell,ktatnell16@newyorker.com,Female,748-918-0657,2,10850,7555,14961,188,6899,46,3
44,Orazio,Basire,obasire17@intel.com,Male,150-253-4471,2,630,11095,23998,787,9529,72,3
45,Nikolaus,Stocky,nstocky18@phpbb.com,Male,646-336-5525,2,9670,7027,10471,541,4618,65,3
46,Keely,Eslie,keslie19@cargocollective.com,Female,498-546-3930,2,5181,22044,21531,1740,7353,4985,3
47,Gerick,Scorer,gscorer1a@cam.ac.uk,Male,651-551-5744,2,3103,14069,21955,1668,6792,1452,3
48,Charlot,Fieller,cfieller1b@ucoz.ru,Female,831-843-9241,2,44466,54259,55571,7782,24171,6465,3
49,Bert,Amberson,bamberson1c@un.org,Female,638-680-6595,2,11519,6152,10868,584,5121,1476,3
50,Marketa,Hucke,mhucke1d@yahoo.co.jp,Female,362-772-9548,2,4967,21412,28921,1798,13583,1163,3
51,Russell,Woodruffe,rwoodruffe1e@google.com.hk,Male,180-659-3328,1,6269,1095,1980,3860,609,2162,3
52,Valentine,Camblin,vcamblin1f@godaddy.com,Male,206-979-8428,1,3347,4051,6996,239,1538,301,3
53,Danie,Sibthorpe,dsibthorpe1g@tinypic.com,Male,274-573-3932,2,40721,3916,5876,532,2587,1278,3
54,Rhody,Guyver,rguyver1h@rambler.ru,Female,613-516-8031,2,491,10473,11532,744,5611,224,3
55,Merill,Russ,mruss1i@shop-pro.jp,Male,134-497-4954,1,27329,1449,1947,2436,204,1333,3
56,Cele,Dempster,cdempster1j@usnews.com,Genderfluid,584-629-5437,1,5264,3683,5005,1057,2024,1130,3
57,Danny,Duigenan,dduigenan1k@mozilla.com,Male,149-133-0268,2,4098,29892,26866,2616,17740,1340,3
58,Leo,Reside,lreside1l@ted.com,Male,709-775-3564,2,5417,9933,10487,38,7572,1282,3
59,Tades,Pendred,tpendred1m@go.com,Male,733-566-5523,1,13779,1970,1648,596,227,436,3
60,Sindee,Bentick,sbentick1n@ftc.gov,Female,662-937-1214,1,6137,5360,8040,129,3084,1603,3
61,Billy,Ashman,bashman1o@house.gov,Male,591-489-8558,2,8590,3045,7854,96,4095,225,3
62,Marius,Chominski,mchominski1p@miibeian.gov.cn,Male,702-996-1198,2,35942,38369,59598,3254,26701,2017,3
63,Paulie,Caselick,pcaselick1q@tinyurl.com,Female,696-668-0993,2,7823,6245,6544,4154,4074,964,3
64,Jesse,Smeall,jsmeall1r@fc2.com,Non-binary,341-684-7406,2,9396,11601,15775,2896,7677,1295,3
65,Kenny,Pelerin,kpelerin1s@freewebs.com,Male,443-504-6210,1,4760,1227,3250,3724,1247,1145,3
66,Phebe,Vallentin,pvallentin1t@webs.com,Female,185-190-9558,2,85,20959,45828,36,24231,1423,3
67,Marabel,Roddan,mroddan1u@slideshare.net,Female,588-495-8331,1,9,1534,7417,175,3468,27,3
68,Griffith,Suero,gsuero1v@addthis.com,Male,568-600-1017,2,19913,6759,13462,1256,5141,834,3
69,Errol,Hagger,ehagger1w@issuu.com,Male,754-688-1513,1,2446,7260,3993,5870,788,3095,3
70,Midge,Lindenboim,mlindenboim1x@usatoday.com,Genderqueer,552-353-2618,1,8352,2820,1293,779,656,144,3
71,Euphemia,Harnes,eharnes1y@sourceforge.net,Female,201-143-1850,1,16705,2037,3202,10643,116,1365,3
72,Stephana,Andreaccio,sandreaccio1z@google.de,Female,631-640-4730,1,18291,1266,21042,5373,4173,14472,3
73,Dede,Liddington,dliddington20@twitter.com,Female,832-106-2610,1,4420,5139,2661,8872,1321,181,3
74,Arne,Facer,afacer21@qq.com,Male,117-919-7572,2,19899,5332,8713,8132,764,648,3
75,Corbett,Markussen,cmarkussen22@over-blog.com,Male,560-369-9790,2,8190,6343,9794,1285,1901,1780,3
76,Leonora,Gilks,lgilks23@t.co,Female,289-507-1601,1,20398,1137,3,4407,3,975,3
77,Barbabas,Longmaid,blongmaid24@state.gov,Male,258-500-8897,1,717,3587,6532,7530,529,894,3
78,Deidre,Bass,dbass25@miitbeian.gov.cn,Female,305-309-2416,2,12205,12697,28540,869,12034,1009,3
79,Stormi,Ffrench,sffrench26@tripadvisor.com,Female,524-119-3566,1,10766,1175,2067,2096,301,167,3
80,Marylin,Baynon,mbaynon27@linkedin.com,Female,776-751-5907,1,1640,3259,3655,868,1202,1653,3
81,Dannie,Brideau,dbrideau28@answers.com,Female,851-564-2748,1,7005,829,3009,430,610,529,3
82,Trumann,Posten,tposten29@drupal.org,Male,964-777-5514,2,219,9540,14403,283,7818,156,3
83,Madella,Skone,mskone2a@cbc.ca,Female,509-506-6087,2,10362,9232,11009,737,3537,2342,3
84,Bary,Quade,bquade2b@comsenz.com,Male,286-239-5496,1,20874,1563,1783,2320,550,772,3
85,Herman,Broomhall,hbroomhall2c@bbb.org,Male,123-771-1816,2,11867,3327,4814,1178,3837,120,3
86,Ebeneser,Piatto,epiatto2d@lycos.com,Male,113-710-2101,2,16117,46197,92780,1026,40827,2944,3
87,Eziechiele,Mattiello,emattiello2e@soup.io,Male,455-460-5788,2,22925,73498,32114,987,20070,903,3
88,Taffy,Dandie,tdandie2f@mysql.com,Female,373-378-5593,1,43265,5025,8117,6312,1579,14351,3
89,Arnoldo,Stebbings,astebbings2g@va.gov,Male,713-124-5575,1,7864,542,4042,9735,165,46,3
90,Nelle,Woolley,nwoolley2h@google.ca,Female,286-471-2371,1,24904,3836,5330,3443,454,3178,3
91,Harlan,Darcy,hdarcy2i@mediafire.com,Male,759-552-8044,1,11405,596,1638,3347,69,360,3
92,Cymbre,Haliburton,chaliburton2j@nih.gov,Female,790-579-5792,1,12754,2762,2530,8693,627,1117,3
93,Danielle,Coche,dcoche2k@bbc.co.uk,Female,643-672-1341,2,9198,27472,32034,3232,18906,5130,3
94,Sharyl,Branch,sbranch2l@unc.edu,Female,536-195-2817,1,11314,3090,2062,35009,71,2698,3
95,Duky,Gianiello,dgianiello2m@liveinternet.ru,Male,261-737-3435,2,5626,12220,11323,206,5038,244,3
96,Tiena,Bikker,tbikker2n@illinois.edu,Female,964-810-2382,1,3,2920,6252,440,223,709,3
97,Cathie,Bolens,cbolens2o@indiatimes.com,Female,119-112-3574,2,23,2616,8118,145,3874,217,3
98,Ave,Voss,avoss2p@newyorker.com,Male,548-126-7439,1,403,254,610,774,54,63,3
99,Dudley,Pardue,dpardue2q@deviantart.com,Male,730-469-3026,1,503,112,778,895,56,132,3
100,Nevin,Renowden,nrenowden2r@histats.com,Male,510-791-4138,1,9658,2182,1909,5639,215,323,3
101,Gav,Gonsalvo,ggonsalvo2s@china.com.cn,Male,245-625-4714,2,11594,7779,12144,3252,8035,3029,3
102,Humfried,Biddell,hbiddell2t@redcross.org,Male,155-165-3059,2,1420,10810,16267,1593,6766,1838,3
103,Terrye,Wallbank,twallbank2u@github.com,Female,531-150-7734,2,2932,6459,7677,2561,4573,1386,3
104,Brietta,Colecrough,bcolecrough2v@wikispaces.com,Female,492-590-9441,1,56082,3504,8906,18028,1480,2498,3
105,Lonni,Fausset,lfausset2w@ameblo.jp,Female,316-176-4538,1,14100,2132,3445,1336,1491,548,3
106,Giacopo,Clarkin,gclarkin2x@merriam-webster.com,Genderqueer,519-206-3783,1,15587,1014,3970,910,139,1378,3
